Event	ID	Name			Wwise Object Path	Notes
	456382354	Reload			\Default Work Unit\Reload	
	1256345528	PlayerAudio			\Default Work Unit\PlayerAudio	
	1551306167	UI			\Default Work Unit\UI	
	2108779966	Walk			\Default Work Unit\Walk	
	3038207054	Shoot			\Default Work Unit\Shoot	
	3554434311	Ammo			\Default Work Unit\Ammo	
	3991942870	Music			\Default Work Unit\Music	
	4161132316	Skill			\Default Work Unit\Skill	

Switch Group	ID	Name			Wwise Object Path	Notes
	47937584	PlayerVoice			\Default Work Unit\PlayerVoice	
	456382354	Reload			\Default Work Unit\Reload	
	915214409	Gun			\Default Work Unit\Gun	
	1096740251	RifleSemi			\Default Work Unit\RifleSemi	
	2604644515	Menus			\Default Work Unit\Menus	
	3554434311	Ammo			\Default Work Unit\Ammo	
	4161132316	Skill			\Default Work Unit\Skill	
	4216705946	MaterialFeet			\Default Work Unit\MaterialFeet	

Switch	ID	Name	Switch Group			Notes
	674522502	Land	PlayerVoice			
	3833651337	Jump	PlayerVoice			
	324443136	Pistol	Reload			
	1096740251	RifleSemi	Reload			
	4262674733	Rifle	Reload			
	324443136	Pistol	Gun			
	546945295	Bow	Gun			
	1096740251	RifleSemi	Gun			
	4262674733	Rifle	Gun			
	1993628331	Rebolt	RifleSemi			
	3573931707	Loading	RifleSemi			
	3958385377	Unbolt	RifleSemi			
	1584507803	Click	Menus			
	3753593413	Hover	Menus			
	324443136	Pistol	Ammo			
	1096740251	RifleSemi	Ammo			
	4262674733	Rifle	Ammo			
	3255686181	Grenade	Skill			
	136358821	Lino	MaterialFeet			
	903661822	LowMetal	MaterialFeet			
	2305815328	Boots	MaterialFeet			
	2449969375	Glass	MaterialFeet			
	3762184421	HollowMetal	MaterialFeet			

Game Parameter	ID	Name			Wwise Object Path	Notes
	191739755	MenuVol			\Default Work Unit\MenuVol	
	736504446	MasterVol			\Default Work Unit\MasterVol	
	2782620904	FootVol			\Default Work Unit\FootVol	
	3325673733	MusicVol			\Default Work Unit\MusicVol	
	3432874653	SFXVol			\Default Work Unit\SFXVol	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	1551306167	UI			\Default Work Unit\Master Audio Bus\UI	
	2385628198	Footsteps			\Default Work Unit\Master Audio Bus\Footsteps	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	
	3991942870	Music			\Default Work Unit\Master Audio Bus\Music	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	2077253480	Room			\Default Work Unit\Master Audio Bus\Room	
	4202071913	Big_Room			\Default Work Unit\Master Audio Bus\Big_Room	

Effect plug-ins	ID	Name	Type				Notes
	1990128658	Room_Medium	Wwise RoomVerb			
	3900114836	Metal_Hangar	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	167312	LowMetal_Mono_02	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\F0\{F012D4E7-768A-792C-DD4E-2CEE3EB1E0B7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\LowMetal\LowMetal_Mono_02		110344
	9438588	Glass_Grit_Mono_02	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\B8\{B83C272A-F14C-6C02-9B2F-45825B33A0C0}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Glass\Glass_Grit_Mono_02		110344
	34700422	Quiet Times, Soft Waves	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\43\{436DA077-180D-F73F-D207-45480EC7FF78}.wem		\Interactive Music Hierarchy\Default Work Unit\Menu\Quiet Times, Soft Waves		17992896
	51211207	773859__mrgungus__223-remington-casing-drop	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\E8\{E868A1F6-A589-0ED0-7E67-E54463FB5F49}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ammo\Rifle\773859__mrgungus__223-remington-casing-drop		104154
	85366372	231245__augustsandberg__fn-scar-h-7_02	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\E9\{E9799958-06F0-F8B9-89C8-956A3837E6F3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gunshots\Rifle\231245__augustsandberg__fn-scar-h-7_02		253540
	109353821	Linoleum_Mono_01	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\C0\{C098DF41-1048-C294-611D-2088F6F56213}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Lino\Linoleum_Mono_01		110344
	111453331	667296__pekena_larva__voc_male_jump_06	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\DF\{DFB16F98-6614-1D51-8CDE-BE5D4D3D2E5F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerVoice\Jump\667296__pekena_larva__voc_male_jump_06		144096
	120073318	Abstract1	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\01\{018BFC39-3CDD-F99E-6478-1544CCCFE4A7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Hover\Abstract1		132564
	127469203	BootsLinoleum_02	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\06\{06FCFF13-AE9E-DBE0-33F1-67E9DFD0D5DE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Boots\BootsLinoleum_02		144096
	134191246	Linoleum_Mono_02	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\93\{932A8E83-9AED-1BA1-8A62-7CE7F43AF43B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Lino\Linoleum_Mono_02		110344
	204201908	Linoleum_Mono_05	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\59\{59A9D1C3-4B16-1593-3BC1-A64B216DC366}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Lino\Linoleum_Mono_05		110344
	226604641	773871__mrgungus__pistol-cock-3	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\DC\{DCEE9B82-99F4-CD58-D8A4-00394C15994D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Reload\Pistol\773871__mrgungus__pistol-cock-3		39334
	253093012	508747__augustsandberg__bolt-action-rifle-reload_04	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\05\{053D0CFE-5E9C-8B5D-3991-CF01F93EFFC0}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Reload\RifleSemi\Loading\508747__augustsandberg__bolt-action-rifle-reload_04		394624
	260605844	231245__augustsandberg__fn-scar-h-7	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\53\{53EF141F-221B-24C6-761B-5F0F354F6CC8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gunshots\Rifle\231245__augustsandberg__fn-scar-h-7		183604
	266637744	231244__augustsandberg__smith-wesson	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\66\{66EACD25-AB14-B3FB-C8FB-58FEBF69137E}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gunshots\RifleSemi\231244__augustsandberg__smith-wesson		281296
	270836268	Minimalist4	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\08\{084C6493-D7CB-DDE0-83D1-08150122B6B0}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Click\Minimalist4		132564
	281285885	Glass_Grit_Mono_03	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\74\{74663678-7CB4-9990-9249-BD452482D888}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Glass\Glass_Grit_Mono_03		110344
	283265812	Linoleum_Mono_04	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\B4\{B4B4A74F-9226-0268-988D-D043A85AD3F0}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Lino\Linoleum_Mono_04		110344
	290019238	667297__pekena_larva__voc_male_jump_05	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\2E\{2E226E30-1A27-D87C-E280-E5CE065B741A}.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerVoice\Jump\667297__pekena_larva__voc_male_jump_05		144096
	311318493	Abstract2	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\B1\{B13D8503-9DE1-DD06-E292-6D14894B6094}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Hover\Abstract2		132564
	320875992	Glass_Grit_Mono_05	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\75\{758A1510-D932-19C5-0D04-487DA87D46B2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Glass\Glass_Grit_Mono_05		110344
	360279878	667299__pekena_larva__voc_male_land_03	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\A4\{A4B9B1EF-35E2-0C2C-C04A-9AE6B78532C3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerVoice\Land\667299__pekena_larva__voc_male_land_03		144096
	376470486	231244__augustsandberg__smith-wesson_03	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\9E\{9E228175-431C-80E2-DF38-321667B6281F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gunshots\RifleSemi\231244__augustsandberg__smith-wesson_03		303376
	381079448	LowMetal_Mono_05	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\50\{50CF3AA1-A9F3-B658-2075-C3DBDE0AA903}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\LowMetal\LowMetal_Mono_05		110344
	387459409	Minimalist5	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\20\{20AF7999-C480-5A56-197D-1008B9CE7612}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Click\Minimalist5		132564
	388912180	508747__augustsandberg__bolt-action-rifle-reload_01	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\7F\{7FBDDCB2-87E6-FD0A-5AC5-D7070EBD4321}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Reload\RifleSemi\Unbolt\508747__augustsandberg__bolt-action-rifle-reload_01		468464
	397573128	wind-up	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\55\{5594C9FE-3BDA-8D57-5183-9A474F019E7C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Skill\grenade\wind-up		200812
	397859966	MetalSteps_04	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\E0\{E097930D-B849-5F91-8775-00BC60B51045}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\HollowMetal\MetalSteps_04		88296
	410898943	508747__augustsandberg__bolt-action-rifle-reload_03	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\0A\{0ABDCA18-6CBA-C106-1B21-7250AB2BBAAF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Reload\RifleSemi\Loading\508747__augustsandberg__bolt-action-rifle-reload_03		203888
	422708308	773869__mrgungus__pistol-cock-1	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\22\{22ACFB69-E289-02AE-3547-9E39B4046C9A}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Reload\Pistol\773869__mrgungus__pistol-cock-1		28830
	453219213	231244__augustsandberg__smith-wesson_01	F:\projects\Absconditum\3 Sounds\Wwise Project\Absconditum\.cache\E9\{E996883A-C89D-EDAF-2662-67119B92F24B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gunshots\RifleSemi\231244__augustsandberg__smith-wesson_01		198784
